,code,name,p_change,price,change,open,high,low,preprice,pe,volratio,turnover,range,volume,selling,buying,amount,totals,industry,area,floats,fvalues,abvalues,avgprice,strength,activity,avgturnover,attack,interval3,interval6
10,603721,中广天择,10.02,18.0,1.64,18.0,18.0,18.0,16.36,20.37,0.0,0.13,0.0,334,296,38,601254,10000.0,影视音像,湖南,2500.0,4.5,18.0,18.0,9.47,33,0.004,0.0,112.77,112.77
11,002405,四维图新,10.02,26.57,2.42,24.42,26.57,24.21,24.15,169.97,1.65,13.57,9.77,1379866,635326,744539,3552325888,128261.5,软件服务,北京,101650.17,270.08,340.79,25.74,9.31,4559,0.003,9.75,51.74,46.88
12,002227,奥 特 迅,10.02,21.42,1.95,19.56,21.42,19.5,19.47,0.0,2.53,4.68,9.86,102761,38914,63846,214074176,22059.74,电气设备,深圳,21961.94,47.04,47.25,20.83,9.3,2789,0.0017,9.85,18.67,-13.87
13,300667,必创科技,10.02,36.58,3.33,33.2,36.58,33.2,33.25,221.14,1.81,23.23,10.17,39494,16998,22495,139704976,6800.0,电器仪表,北京,1700.0,6.22,24.87,35.37,9.3,2276,0.0102,10.18,157.79,157.79
14,603825,华扬联众,10.01,33.18,3.02,30.38,33.18,30.31,30.16,405.25,0.91,23.66,9.52,94622,41084,53537,301887872,16000.0,互联网,北京,4000.0,13.27,53.09,31.9,9.46,2792,0.0085,9.47,57.1,57.1
15,603019,中科曙光,10.01,29.67,2.7,27.42,29.67,27.02,26.97,140.82,1.79,6.54,9.83,262786,145038,117748,755491328,64302.39,电脑设备,天津,40175.48,119.2,190.79,28.75,9.45,2649,0.0025,9.81,5.29,19.25
16,300670,大烨智能,10.01,23.74,2.16,21.58,23.74,21.58,21.58,191.92,2.12,20.94,10.01,56550,27021,29529,129319736,10800.0,电气设备,江苏,2700.0,6.41,25.64,22.87,9.3,2124,0.0099,10.01,80.95,80.95
17,600507,方大特钢,10.01,13.41,1.22,12.38,13.41,12.2,12.19,12.62,1.46,6.23,9.93,825495,350469,475025,1069346624,132609.3,特种钢,江西,132609.3,177.83,177.83,12.95,9.45,4395,0.0014,9.92,100.15,69.96
18,603612,索通发展,10.01,63.43,5.77,58.58,63.43,58.3,57.66,34.75,0.85,32.08,8.9,193096,95416,97679,1172393600,24070.49,矿物制品,山东,6020.0,38.18,152.68,60.72,9.45,4042,0.0079,8.8,458.85,458.85
19,300689,澄天伟业,10.0,44.42,4.04,42.17,44.42,42.17,40.38,56.76,77.04,43.51,5.57,73961,44825,29136,321894368,6800.0,元器件,深圳,1700.0,7.55,30.21,43.52,9.29,1492,0.0292,5.34,157.21,157.21
20,300671,富满电子,10.0,27.49,2.5,25.0,27.49,25.0,24.99,83.62,1.18,22.36,9.96,56692,29923,26769,151069472,10135.0,半导体,深圳,2535.0,6.97,27.86,26.65,9.29,1770,0.0126,9.96,159.83,159.83
21,300676,华大基因,10.0,131.63,11.97,121.68,131.63,121.68,119.66,139.45,0.97,26.47,8.32,106125,46887,59238,1342225920,40010.0,医疗保健,深圳,4010.0,52.78,526.65,126.48,9.29,4102,0.0065,8.18,704.09,704.09
22,002861,瀛通通讯,10.0,32.77,2.98,29.79,32.77,29.79,29.79,65.49,4.0,17.22,10.0,52818,20122,32696,167335456,12269.83,通信设备,湖北,3068.0,10.05,40.21,31.68,9.29,2212,0.0078,10.0,-5.62,62.23
23,300685,艾德生物,10.0,68.95,6.27,68.95,68.95,68.95,62.68,62.58,1.3,1.09,0.0,2178,1704,474,15017310,8000.0,生物制药,福建,2000.0,13.79,55.16,68.95,9.29,220,0.0049,0.0,314.61,314.61
24,300678,中科信息,10.0,47.52,4.32,43.75,47.52,43.51,43.2,193.99,0.42,19.53,9.28,48815,32851,15964,225531824,10000.0,软件服务,四川,2500.0,11.88,47.52,46.2,9.29,667,0.0293,9.22,404.46,404.46
25,300672,国科微,10.0,36.08,3.28,34.0,36.08,33.11,32.8,0.0,0.98,19.6,9.05,54776,31097,23678,193592080,11176.46,半导体,湖南,2794.12,10.08,40.32,35.34,9.29,1406,0.0139,8.97,254.42,254.42
26,300310,宜通世纪,10.0,13.86,1.26,13.86,13.86,13.86,12.6,62.7,0.22,0.52,0.0,30296,29279,1017,41990864,88244.6,通信设备,广东,58176.8,80.63,122.31,13.86,9.29,416,0.0013,0.0,4.37,15.4
27,002819,东方中科,10.0,29.48,2.68,26.74,29.48,26.74,26.8,0.0,1.36,10.69,10.22,30298,16834,13464,87174480,11334.0,电器仪表,北京,2834.0,8.35,33.41,28.77,9.29,1137,0.0094,10.25,-12.83,-18.68
28,002778,高科石化,10.0,28.38,2.58,26.75,28.38,26.7,25.8,80.82,10.84,12.18,6.51,67623,34410,33213,188844432,8910.95,石油加工,江苏,5553.75,15.76,25.29,27.93,9.29,1983,0.0061,6.29,-9.85,-30.2
29,002242,九阳股份,10.0,20.13,1.83,20.13,20.13,19.61,18.3,21.39,14.68,7.37,2.84,563773,413414,150358,1133954560,76752.29,家用电器,山东,76515.75,154.03,154.5,20.11,9.29,1987,0.0037,2.65,8.93,13.09
30,300510,金冠电气,10.0,29.27,2.66,26.83,29.27,26.61,26.61,305.77,2.21,4.68,10.0,35066,15523,19543,98097184,20484.97,电气设备,吉林,7485.0,21.91,59.96,27.97,9.28,1663,0.0028,10.0,-16.01,-9.91
31,300686,智动力,10.0,27.62,2.51,24.77,27.62,24.35,25.11,79.88,0.93,43.46,13.02,136028,64836,71191,359354912,12520.0,元器件,深圳,3130.0,8.65,34.58,26.42,9.28,3793,0.0115,13.43,145.08,145.08
32,603707,健友股份,9.99,21.02,1.91,18.99,21.02,18.68,19.11,36.11,2.35,31.14,12.24,197719,89420,108299,396613152,42350.0,化学制药,江苏,6350.0,13.35,89.02,20.06,9.44,3695,0.0084,12.53,102.5,102.5
33,300691,联合光电,9.99,40.72,3.7,40.72,40.72,40.72,37.02,34.19,0.0,0.43,0.0,912,782,129,3712035,8555.0,元器件,广东,2140.0,8.71,34.84,40.72,9.28,141,0.003,0.0,112.64,112.64
34,600295,鄂尔多斯,9.99,19.04,1.73,17.83,19.04,17.33,17.31,44.34,1.1,8.95,9.88,547612,249268,298343,999854592,103200.0,小金属,内蒙,61200.0,116.52,196.49,18.26,9.44,2608,0.0034,9.87,110.62,84.85
